link,name,price,rating,description,manual,country
https://goldapple.ru/19000004549-perfume-vanilla-blend,ZIELINSKI & ROZEN Black Vanilla,не указана,4.7,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность. Эрез Розен Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. Все ароматы Zielinski&Rozen категории унисекс. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,не указана
https://goldapple.ru/19000312026-07-salty-salt,FOR ME BY GOLD APPLE 07. Salty salt,243₽,0.0,"Легкий парфюмированный крем с ароматом морской соли, кипариса и лимона. Брызги морской воды переливаются на солнце и оставляют на коже блестящие кристаллы соли. Одновременно прозрачный и глубокий, как океан, который бодрит и манит приключениями. Он увлажняет руки, питает кожу и при продолжительном использовании делает ее менее чувствительной к окружающей среде. Благодаря легкой текстуре средство быстро впитывается, не создает маслянистое ощущение и не оставляет на предметах жирные следы. Крем подходит для сухой кожи — пантенол и сквалан быстро восстанавливают ее и возвращают мягкость. Нежность рукам придают также натуральные масла оливы и авокадо. А крепкую защиту рукам обеспечивают экстракт базилика и алоэ вера.",Нанесите крем массажными движениями на чистую сухую кожу рук.,не указана
https://goldapple.ru/19000283183-bois-imperial,ESSENTIAL PARFUMS PARIS Bois imperial,2 583₽,4.4,Увлажняющий крем для рук в алюминиевой упаковке оставляет на коже аромат BOIS IMPERIAL by Quentin Bisch. Содержит не менее 97% ингредиентов натурального происхождения.,Нанесите крем на кожу рук аккуратными массирующими движениями.,не указана
https://goldapple.ru/19000312027-07-salty-salt,FOR ME BY GOLD APPLE 07. Salty salt,652₽,0.0,"Парфюмированное молочко для тела с нотами морской соли, кипариса и лимона увлажняет и защищает кожу, оставляя на теле приятный ненавязчивый аромат. За счет легкой текстуры оно быстро впитывается и не оставляет ощущение липкости. При этом средство защищает кожу от вредного воздействия окружающей среды. Аромат молочка — одновременно прозрачный и глубокий, как океан, который бодрит и манит приключениями. Брызги морской воды переливаются на солнце и оставляют на коже блестящие кристаллы соли. Кожа надолго сохраняет нежный аромат, остается гладкой и бархатно-мягкой. Увлажнение и питание обеспечивают масла макадамии, виноградной косточки и ши. Гладкость и эластичность коже придает коллаген, а сияние и здоровый вид — натуральные экстракты персика и миндаля. При курьерской доставке и самовывозе из супермаркета «‎Золотое Яблоко» у некоторых товаров могут отсутствовать стопперы — это специальная деталь, которая фиксирует дозатор в одном положении.",Небольшое количество молочка нанесите на чистую сухую кожу тела массажными движениями.,не указана
https://goldapple.ru/19000164614-oud-rose-intense,FRAGRANCE DU BOIS OUD ROSE INTENSE,28 800₽,0.0,"Аромат Oud Rose Intense вдохновлен розовым цветом, олицетворяющим прекрасное, легкое настроение. Парфюмерная композиция открывается искрящейся нотой бергамота и сладостью фруктов, в сердце аромата величественная, нежная роза звучание которой усиливает аккорд герани. Согревают сердце ноты чувственный сандал в дуэте с анималистичным акцентом амбры. В шлейфе горячий, согревающий уд с выдержкой, он придает композиции атмосферное, запоминающееся звучание. Парфюмер: Hamid Merati-Kashani",Только для наружного применения,не указана
https://goldapple.ru/19760310036-l-ame-slave,STATE OF MIND L'Ame Slave,11 133₽,5.0,"Древесный аромат L'Ame Slave – это воплощение таинственной, независимой и спонтанной славянской души. Глубокая композиция создана на основе нот бергамота и гевеи, к которым присоединяются василёк, степные травы, кедр и серёжки березы. Вдохновением для создания аромата стал Второй концерт для фортепиано с оркестром Сергея Рахманинова. Контрастный и чувственный L'Ame Slave потрясает и позволяет сердцу править, руководить разумом. Верхние ноты: бергамот, лимон, гевея Ноты сердца: имбирь, мёд, ваниль Базовые ноты: пуэр, кедр, береза, сандал",не указана,Франция
https://goldapple.ru/19000198054-17-oud-mosaic,BANANA REPUBLIC 17 Oud Mosaic,12 850₽,4.3,"17 Oud Mosaic - восточный древесный аромат для мужчин и женщин от Banana Republic, созданный в 2017 году. Оригинальные унисекс духи Banana Republic 17 Oud Mosaic, принадлежат к семейству восточный древесный. В состав композиции входят ноты: Слива, Кардамон, Белый перец, Турецкая роза, Шафран, Лабданум, Уд, Амбра, Мускус. Приятный восточный древесный запах аромата 17 Oud Mosaic оставляет легкий интересный шлейф, а стойкость соответствует типу аромата - Парфюмерная вода.",не указана,не указана
https://goldapple.ru/19000206613-velvet-orchid,BIRKHOLZ Velvet Orchid,20 500₽,3.1,"Нежный цветочно-цитрусовый аромат BIRKHOLZ с легким намеком на пудровое звучание – парфюмерное воплощение dolce vita или «сладкой жизни». Светлая композиция объединяет свежий цитрусовый аккорд, цветочные ноты ириса, жасмина и орхидеи, а также чувственность мускуса. Изысканный аромат отражает свободу и лёгкость итальянского стиля жизни с его повседневными радостями и удовольствиями. Классификация аромата: цветочный, цитрусовый, фруктовый.",Только для наружного применения.,не указана
https://goldapple.ru/19000312024-06-vanilla-spark,FOR ME BY GOLD APPLE 06. Vanilla spark,652₽,0.0,"Парфюмированное молочко для тела с ароматом ванили, белого мускуса и амбры увлажняет и защищает кожу, оставляя на теле приятный ненавязчивый аромат. За счет легкой текстуры оно быстро впитывается и не оставляет ощущение липкости. При этом средство защищает кожу от вредного воздействия окружающей среды. Аромат молочка — это атмосфера свидания в луна-парке, полного беззаботной радости. Ваниль напоминает сладость крем-соды и сахарной ваты, а бархатный шлейф амбры и белого мускуса мысленно переносит в теплый романтический вечер. Кожа надолго сохраняет нежный аромат, остается гладкой и бархатно-мягкой. Увлажнение и питание обеспечивают масла макадамии, виноградной косточки и ши. Гладкость и эластичность коже придает коллаген, а сияние и здоровый вид — натуральные экстракты персика и миндаля. При курьерской доставке и самовывозе из супермаркета «‎Золотое Яблоко» у некоторых товаров могут отсутствовать стопперы — это специальная деталь, которая фиксирует дозатор в одном положении.",Небольшое количество молочка нанесите на чистую сухую кожу тела массажными движениями.,не указана
https://goldapple.ru/19000186240-tobacco,FRANCK BOCLET TOBACCO,4 505₽,4.4,не указано,не указана,не указана
https://goldapple.ru/19760310030-sense-of-humor,STATE OF MIND Sense of Humor,11 133₽,3.0,"Зеленый цитрусовый аромат Sense of Humor – это эйфорическое сочетание яркости и экзотики. Игривое и весёлое зелье открывается неожиданными нотами мате и чая Дарджилинг в сочетании с листьями чёрной смородины и кинзы. Аромат переходит в свежую гармонию солнечного цитрона, мандарина и персика, дополненную тёплыми нотами кедра и мускуса. Насыщенная и бодрящая композиция намекает: юмор – это лучшая одежда, которую нужно носить в обществе. Верхние ноты: персик, листья чёрной смородины, мускус Ноты сердца: чай Дарджилинг, цитрон, мате Базовые ноты: мандарин, кориандр, кедр",не указана,Франция
https://goldapple.ru/19000003877-versailles,12 PARFUMEURS FRANCAIS VERSAILLES,26 350₽,5.0,"Чудесная композиция сочетает в себе роскошь и свежесть природы. Знакомство с ароматом начинается с нежных нот бергамота, лимона, иланг- иланга и теплого дерева. В середине искристой композиции – фруктовое звучание с добавлениемжасмина и гвоздики. Оставить отпечаток в судьбе объекта восхищения поможет шлейф из белого мускуса, пачули, ориентальных нот.",не указана,не указана
https://goldapple.ru/19000163474-beso-negro,BESO BEACH Beso negro,9 060₽,4.8,"BESO NEGRO воссоздает красоту средиземноморской ночи: закат, последние лучи солнца в отражении моря, обволакивающая жара ещё теплого песка и загадочная луна. Фиалка и кардамон в верхних нотах переходят к провокационным пачули, коже и сандалу, которые формируют уникальный и элегантный характер композиции.",Распылите на кожу с расстояния 20-30 см.,не указана
https://goldapple.ru/19000312020-05-old-basil,FOR ME BY GOLD APPLE 05. Old basil,243₽,0.0,"Легкий парфюмированный крем с ароматом базилика, ветивера и гальбанума. Свежий и немного терпкий базилик одновременно бодрит и дарит ощущение спокойствия. Ноты ветивера и гальбанума объединяются в яркий заряд, зеленый, как скошенная трава в поле. Он увлажняет руки, питает кожу и при продолжительном использовании делает ее менее чувствительной к окружающей среде. Благодаря легкой текстуре средство быстро впитывается, не создает маслянистое ощущение и не оставляет на предметах жирные следы. Крем подходит для сухой кожи — пантенол и сквалан быстро восстанавливают ее и возвращают мягкость. Нежность рукам придают также натуральные масла оливы и авокадо. А крепкую защиту рукам обеспечивают экстракт базилика и алоэ вера.",Нанесите крем массажными движениями на чистую сухую кожу рук.,не указана
